2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job b662659f16c541a3 (status=processing, age=62181s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b662659f16c541a3.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job 242f514497364054 (status=processing, age=61460s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\242f514497364054.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job 2a91dc9b4fda477b (status=processing, age=61460s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\2a91dc9b4fda477b.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job 92f67a072dd14006 (status=processing, age=60818s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\92f67a072dd14006.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job 18e7088c15974c04 (status=processing, age=60748s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\18e7088c15974c04.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job f8ed0b9c0cdd43d1 (status=processing, age=59969s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\f8ed0b9c0cdd43d1.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:96 |   stale analysis job eb9cc6dfbe8848cb (status=processing, age=2492s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\eb9cc6dfbe8848cb.mov)
2026-06-10 13:06:52 | INFO     | backend.main | main.py:118 | Export store: no stale jobs.
2026-06-10 13:06:52 | INFO     | backend.main | main.py:121 | Startup recovery scan complete.
2026-06-10 13:06:54 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 13:06:54 | WARNING  | backend.main | main.py:89 | Found 10 stale analysis job(s) — they can be resumed via checkpoint. Use POST /recovery/analyze/{video_id} to recover.
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job b68aa3abc17a4082 (status=processing, age=62349s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b68aa3abc17a4082.mp4)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job 707ffbe6155e4807 (status=processing, age=62349s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\707ffbe6155e4807.mp4)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job ba2831d773174578 (status=processing, age=62251s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\ba2831d773174578.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job b662659f16c541a3 (status=processing, age=62182s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b662659f16c541a3.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job 242f514497364054 (status=processing, age=61461s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\242f514497364054.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job 2a91dc9b4fda477b (status=processing, age=61461s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\2a91dc9b4fda477b.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job 92f67a072dd14006 (status=processing, age=60819s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\92f67a072dd14006.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job 18e7088c15974c04 (status=processing, age=60749s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\18e7088c15974c04.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job f8ed0b9c0cdd43d1 (status=processing, age=59970s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\f8ed0b9c0cdd43d1.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:96 |   stale analysis job eb9cc6dfbe8848cb (status=processing, age=2493s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\eb9cc6dfbe8848cb.mov)
2026-06-10 13:06:54 | INFO     | backend.main | main.py:118 | Export store: no stale jobs.
2026-06-10 13:06:54 | INFO     | backend.main | main.py:121 | Startup recovery scan complete.
2026-06-10 13:06:56 | INFO     | backend.routers.analysis | analysis.py:55 | Analysis thread started for 14445ca37d06484a (type=commercial)
2026-06-10 13:07:00 | INFO     | understanding.signal.video_classifier | video_classifier.py:143 | CLIP model not cached — downloading openai/clip-vit-base-patch32 → D:\xiangmuji\transVideo\understanding\models\clip_vitb32 (timeout 90s)
2026-06-10 13:07:05 | WARNING  | huggingface_hub.utils._http | _http.py:904 | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-06-10 13:07:56 | WARNING  | understanding.signal.video_classifier | video_classifier.py:171 | CLIP download timed out after 90s or failed
2026-06-10 13:07:56 | INFO     | understanding.signal.video_classifier | video_classifier.py:483 | Classifier created (model not cached — will use heuristic)
2026-06-10 13:07:57 | INFO     | pyscenedetect | scene_manager.py:547 | Detecting scenes...
2026-06-10 13:32:28 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 13:32:28 | WARNING  | backend.main | main.py:89 | Found 11 stale analysis job(s) — they can be resumed via checkpoint. Use POST /recovery/analyze/{video_id} to recover.
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job b68aa3abc17a4082 (status=processing, age=63883s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b68aa3abc17a4082.mp4)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 707ffbe6155e4807 (status=processing, age=63883s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\707ffbe6155e4807.mp4)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job ba2831d773174578 (status=processing, age=63785s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\ba2831d773174578.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job b662659f16c541a3 (status=processing, age=63716s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b662659f16c541a3.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 242f514497364054 (status=processing, age=62995s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\242f514497364054.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 2a91dc9b4fda477b (status=processing, age=62995s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\2a91dc9b4fda477b.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 92f67a072dd14006 (status=processing, age=62353s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\92f67a072dd14006.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 18e7088c15974c04 (status=processing, age=62283s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\18e7088c15974c04.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job f8ed0b9c0cdd43d1 (status=processing, age=61504s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\f8ed0b9c0cdd43d1.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job eb9cc6dfbe8848cb (status=processing, age=4027s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\eb9cc6dfbe8848cb.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:96 |   stale analysis job 14445ca37d06484a (status=processing, age=1532s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\14445ca37d06484a.mov)
2026-06-10 13:32:28 | INFO     | backend.main | main.py:118 | Export store: no stale jobs.
2026-06-10 13:32:28 | INFO     | backend.main | main.py:121 | Startup recovery scan complete.
2026-06-10 13:34:45 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 13:36:30 | INFO     | root | log_config.py:74 | Logging initialized — file=D:\xiangmuji\transVideo\logs\transvideo.log level=INFO console=True
2026-06-10 13:36:30 | WARNING  | backend.main | main.py:89 | Found 11 stale analysis job(s) — they can be resumed via checkpoint. Use POST /recovery/analyze/{video_id} to recover.
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job b68aa3abc17a4082 (status=processing, age=64126s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\b68aa3abc17a4082.mp4)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job 707ffbe6155e4807 (status=processing, age=64126s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\707ffbe6155e4807.mp4)
2026-06-10 13:36:30 | INFO     | backend.main | main.py:96 |   stale analysis job ba2831d773174578 (status=processing, age=64028s, input=D:\xiangmuji\transVideo\backend\routers\..\..\instances\ba2831d773174578.mov)
